Year,Model ,Review
2019,Ford,"2019 Ford Ecosport: Short of eco and sport. Sync user interface, well-appointed interior on SES model. But It's poor on gas, noisy, and ugly. "
2009,Audi,"The all wheel drive is amazing. Even though there is no snow down here in Florida, it is a wonderful feature to have with all the slick wet roads down here from the summer monsoon rains. Rain doesnt even affect the handling. I don't think I've ever spun the tires since ive had it, no matter how hard i try, even in wet conditions. The ride is smooth and it almost even seems to steer itself through the curves. It has a lot of pep and is pretty quick, however, you arent going to beat most cars in a striaght line drag race. Save your money and buy a mustang or camaro if that's what you want. This car was built for comfort and handling. Not straight line speed. The car is very easy on the eyes and the interor is just as refined. The seats are genuine leather. Not that leatherette stuff you see in certain lower level luxury cars (cough acura cough cough). Only con is the car burns oil. It doesnt create any white smoke though. The oil just seems to disappear. I am told by Audi this is because the oil also helps cool the hot turbo charger and is then run through an oil cooler. The oil then seems to evaporate before it finds its way back into the case. Aside from having to spend an extra couple bucks on oil (which is the super duty full synteic Euro formual $10 per quart) the performance of the car does not seem to be affected. Just keep an eye on your oil light!! The all wheel drive is also hard on tires and the weight of the car coupled with it's performans is also hard on brake pads. I've already had to replace the tires and brakes at 25,000 miles. All in all, it's worth it!!"
2010,Audi,"I have had this car since delivered to me directly ordered from the factory. The car has elegance wrapped in an excellent sporty exterior. The car I have has the sport package so the suspension is a little stiffer but not overly uncomfortable even on the roughest of roads. It has handled everything from the German autobahn to the interstates from the port in Maryland and across the United States. The 2.0T engine delivers power although the turbo does not seem to pick it up until around 2900 RPM. The car is a comfortable ride whether just across town or heading in the Rockies hours away. The car has not had any issues other than it just developed a small vacuum leak on the exhaust that was easily found and fixed. The other item is the voice-to-navigation translation does not pick up well, have to dial in 7 out of 10 addresses which is tedious. Gas mileage matches the rated mileage as shown on the original sticker although mine is driven more in city type driving than highway. Out on the open winding roads the car is a dream to drive. It sticks to the pavement at all ranges available (did take it on some German roads up to the 130 mph speed limiter limit and road like driving 65 mph). Ride is firm but smooth. I would buy another one of these or another Audi for my next or even second car."
2011,Audi,"Too bad Audi has stopped making this model, wanting us to upgrade to the AllRoad (a little clumsy looking) or the SUV (a hulk). I've always owned wagons and this was far the best yet. It's handling is superb. The combo of nimble 4-cyl. turbocharged 211-hp engine and 8-speed Tiptronic transmission gets excellent gas mileage yet offers all the power anybody could want. Acceleration at all speeds is quick, powerful, and deeply satisfying. This powertrain, as many have reported, is a work of genius, better than a BMW's in this range. As more car companies downsize to four-cylinder engines, this is the standard they'll want to beat. But they won't."
2012,Audi,"Owning an Audi A4 is like a status symbol for some, however for me its a feeling of ecstasy and achievement every time I step into it. Its a wonderful car made for those who believes in driving something that adapts to their own style of driving. Such a car is an Audi A4 which gives you the freedom to drive according to the condition. Very reliable and accurate dynamics for every season, anywhere in world. All I can say is that people who have driven Audi can only tell you how precise is the handling and maneuvering of this car that gives an ultimate joy of driving !!"
2013,Audi,"The car is fun to drive. The maintenance costs are to ridiculous. The car constantly burns oil which the maintenance service contract does not cover. And you have to change the brakes and rotors at 30k. My lease was for 35,000 miles. When I refused to change the brakes and rotors, they told me I will be dinged for it when I return the vehicle. Basically they want me to pay $800+ to drive 5k more. I have never been in a car that needs to change the brakes at 30k. And all I do are leases. Cars pretty but constantly spending on synthetic oil to top off every 1k to 1.5k miles. I had to buy 4 new set of tires at 20k. But I average about 28 mpg. All this does not add up."
2014,Audi,"I consider myself a 'car guy'. My drive to work is 97 miles one way. Thankfully, I no longer have to do this on a daily basis. But it does mean that I consider my automobile purchases very, very carefully. I've been a student at several high performance driving schools and have owned 2 240Z's and still own an Acura NSX. The Audi A4 Premium Plus is an incredibly satisfying automobile. I've owned it for a year and have driven it over 25K miles. I still make excuses to just get in it and drive. I absolutely love driving it!!! Handling is sublime, acceleration while not staggering, will still push you back in the seat. Gas mileage is very good at just above 25 mpg (and I don't drive slowly). Reliability has been excellent though I am aware of using top tier fuel to avoid carbon buildup on the valves given the direct injection and turbocharged components of the engine. I use a fuel system treatment designed to remove this buildup as I've learned that it may become a problem as mileage increases. Build quality is excellent. Features are impressive and both convenient and useful. And frankly, it gets a lot of positive attention ;0) I LOVE THIS CAR! Perhaps the best all around car I've ever owned!"
2015,Audi,"Great luxury sedan value. I compared this vehicle to the BMW 3 Series and Mercedes C-class. All had their advantages. I liked the BMW styling the best, the Mercedes had a fantastic interior but the Audi did well in all categories. What finally sold me was the value. For several thousand less, I was able to get a sun roof, NAV, and heated leather seats. Other standard features were options on the other two cars. The ride in the Audi A4 is very luxurious and it sticks to the road in any weather conditions. It is an absolute pleasure to drive and I look forward to any trip. I haven't owned it long enough to comment on reliability or cost of ownership but I did get the maintenance package ($800) which pays for the first four major checkups--good deal. Love this car."
2016,Audi,"I enjoy driving again. This car has turned around my views on driving. It is a pleasure again. The car is the ultimate blend of comfort, performance and control."
2017,Audi,"Bought this 17 A4 4/16 and absolutely love it. As the 24k in 9 months can attest i drive a lot of highway miles. At highway speeds this thing is so quite it gives you the false impression that you are not going as fast as you are. Several times in the first few months i looked down and saw i was pushing 90+ mph and quickly slowed down. I did find there is a way to set a warning when you pass a certain speed and it will alert you. On curvy roads it is even better as it takes just about anything you can throw at it with predictability, and youd have to do something pretty stupid to get this thing sideways as it tracks right where you point it and the quattro gives unbelievable grip. Fit and finish are top notch and even after all these miles i still grin as i head toward this car for a long drive and fire up the virtual cockpit for my next adventure. Although decidedly skewed towards highway miles my lifetime mpg is 33 mpg which is 2 greater than stated on the Monroney sticker. Added together, the quality feel, smooth quiet ride, good fuel economy, sporty 5.7 seconds to 60 and sticky handling there is simply no way to go wrong"
2018,Audi,"Ive been driving Audis since 2005. Somehow the older cars feel more solid and better than the new one. I understand that with so many gadgets the car can have some misses, but the basic Apple Carplay that should connect your iPhone to the MMI simply does not work. My car is about 3 weeks old and this happens. I contact the AudiUSA for support and after a couple of weeks worth of the usual, can you use other usb cable, try another usb port, is your phone updated, or try another phone... The final verdict is that I MUST take my car to a dealers..."
2019,Audi,"This is my second A4, I traded in my 2017 lease for a new 2019 this year with a few extra features. Overall, the car has a really nice interior, strong engine, nice tech features and sound system, comfortable seating, and decent handling. I am so very sorry, however, that I leased a car from Audi in 2019, however. Just days after taking this car home I called the dealer to bring it in for service. The car seems to drift on concrete roadways, which is very unnerving. I live in southern California, where many of the freeways and other main roadways are paved in concrete. For whatever reason, the 2019 vehicles just don't stay put on the road and tend to drift left or right. This does not inspire confidence in driving the car at higher speeds, and it tends to make me not want to drive the car other than for short drives. It's such a huge disappointment for a car that costs as much as it does. The dealer has not been able to address the issue and even Audi's customer service did not offer any resolution or even apology. This will be my last Audi purchase, unfortunately I am stuck with it now for the remainder of the lease."
2009,Bentley,"The vehicle has long stood for excess and opulence, and I knew that going in. I expected the Continental GT to be over-engineered and capable of high-speed thrills. And it is, but there’s more.

The tester I’m driving costs $279,000. Of course it’s beautiful and fast and dripping with technology. It’s a Bentley. Inside and out, at high speed or low speed, the latest Continental GT exceeded all my expectations.

The machine glides over the road, powered by a mechanical symphony performing under the hood. The W12 engine is a dying breed, and it’s a shame. It’s stunning in its performance. This is a 200 mph vehicle, but I didn’t hit those speeds. What surprised me the most is that I didn’t need to go fast. The new Continental GT is thrilling in a way that doesn’t require speed. It’s like a great set of speakers or exclusive liquor. Quality over quantity, and in this mechanical form, the quality is stunning.Owning an Audi A4 is like a status symbol for some, however for me its a feeling of ecstasy and achievement every time I step into it. Its a wonderful car made for those who believes in driving something that adapts to their own style of driving. Such a car is an Audi A4 which gives you the freedom to drive according to the condition. Very reliable and accurate dynamics for every season, anywhere in world. All I can say is that people who have driven Audi can only tell you how precise is the handling and maneuvering of this car that gives an ultimate joy of driving !!"
2010,Bentley,"The vehicle has long stood for excess and opulence, and I knew that going in. I expected the Continental GT to be over-engineered and capable of high-speed thrills. And it is, but there’s more.

The tester I’m driving costs $279,000. Of course it’s beautiful and fast and dripping with technology. It’s a Bentley. Inside and out, at high speed or low speed, the latest Continental GT exceeded all my expectations.

The machine glides over the road, powered by a mechanical symphony performing under the hood. The W12 engine is a dying breed, and it’s a shame. It’s stunning in its performance. This is a 200 mph vehicle, but I didn’t hit those speeds. What surprised me the most is that I didn’t need to go fast. The new Continental GT is thrilling in a way that doesn’t require speed. It’s like a great set of speakers or exclusive liquor. Quality over quantity, and in this mechanical form, the quality is stunning.Owning an Audi A4 is like a status symbol for some, however for me its a feeling of ecstasy and achievement every time I step into it. Its a wonderful car made for those who believes in driving something that adapts to their own style of driving. Such a car is an Audi A4 which gives you the freedom to drive according to the condition. Very reliable and accurate dynamics for every season, anywhere in world. All I can say is that people who have driven Audi can only tell you how precise is the handling and maneuvering of this car that gives an ultimate joy of driving !!"
2011,Bentley,"The vehicle has long stood for excess and opulence, and I knew that going in. I expected the Continental GT to be over-engineered and capable of high-speed thrills. And it is, but there’s more.

The tester I’m driving costs $279,000. Of course it’s beautiful and fast and dripping with technology. It’s a Bentley. Inside and out, at high speed or low speed, the latest Continental GT exceeded all my expectations.

The machine glides over the road, powered by a mechanical symphony performing under the hood. The W12 engine is a dying breed, and it’s a shame. It’s stunning in its performance. This is a 200 mph vehicle, but I didn’t hit those speeds. What surprised me the most is that I didn’t need to go fast. The new Continental GT is thrilling in a way that doesn’t require speed. It’s like a great set of speakers or exclusive liquor. Quality over quantity, and in this mechanical form, the quality is stunning.Owning an Audi A4 is like a status symbol for some, however for me its a feeling of ecstasy and achievement every time I step into it. Its a wonderful car made for those who believes in driving something that adapts to their own style of driving. Such a car is an Audi A4 which gives you the freedom to drive according to the condition. Very reliable and accurate dynamics for every season, anywhere in world. All I can say is that people who have driven Audi can only tell you how precise is the handling and maneuvering of this car that gives an ultimate joy of driving !!"
2012,Bentley,"The vehicle has long stood for excess and opulence, and I knew that going in. I expected the Continental GT to be over-engineered and capable of high-speed thrills. And it is, but there’s more.

The tester I’m driving costs $279,000. Of course it’s beautiful and fast and dripping with technology. It’s a Bentley. Inside and out, at high speed or low speed, the latest Continental GT exceeded all my expectations.

The machine glides over the road, powered by a mechanical symphony performing under the hood. The W12 engine is a dying breed, and it’s a shame. It’s stunning in its performance. This is a 200 mph vehicle, but I didn’t hit those speeds. What surprised me the most is that I didn’t need to go fast. The new Continental GT is thrilling in a way that doesn’t require speed. It’s like a great set of speakers or exclusive liquor. Quality over quantity, and in this mechanical form, the quality is stunning.Owning an Audi A4 is like a status symbol for some, however for me its a feeling of ecstasy and achievement every time I step into it. Its a wonderful car made for those who believes in driving something that adapts to their own style of driving. Such a car is an Audi A4 which gives you the freedom to drive according to the condition. Very reliable and accurate dynamics for every season, anywhere in world. All I can say is that people who have driven Audi can only tell you how precise is the handling and maneuvering of this car that gives an ultimate joy of driving !!"
2013,Bentley,"Recently, I have seen a super luxurious car model, which is coming from British auto mobile company Bentley Motors. Bentley Mulsanne awesome car in the world. I have also readied about expected price at Rs.1.7 to Rs.1.8 crore. It's really superb car model for a richest person's, who is likely able to purchase its richest car model in the world. Many other luxurious car, those coming also in high range model in the country. But its a different model in between other some luxurious models. Other many luxurious car maker like BMW, AUDI, MERCEDES-BENZ are also going makes a different type of cars in the world. I also like a high cost car models for to buy. Now I will plan to purchase its marvellous car model."
2014,Bentley,"Recently, I have seen a super luxurious car model, which is coming from British auto mobile company Bentley Motors. Bentley Mulsanne awesome car in the world. I have also readied about expected price at Rs.1.7 to Rs.1.8 crore. It's really superb car model for a richest person's, who is likely able to purchase its richest car model in the world. Many other luxurious car, those coming also in high range model in the country. But its a different model in between other some luxurious models. Other many luxurious car maker like BMW, AUDI, MERCEDES-BENZ are also going makes a different type of cars in the world. I also like a high cost car models for to buy. Now I will plan to purchase its marvellous car model."
2015,Bentley,"Recently, I have seen a super luxurious car model, which is coming from British auto mobile company Bentley Motors. Bentley Mulsanne awesome car in the world. I have also readied about expected price at Rs.1.7 to Rs.1.8 crore. It's really superb car model for a richest person's, who is likely able to purchase its richest car model in the world. Many other luxurious car, those coming also in high range model in the country. But its a different model in between other some luxurious models. Other many luxurious car maker like BMW, AUDI, MERCEDES-BENZ are also going makes a different type of cars in the world. I also like a high cost car models for to buy. Now I will plan to purchase its marvellous car model."
2016,Bentley,"Recently, I have seen a super luxurious car model, which is coming from British auto mobile company Bentley Motors. Bentley Mulsanne awesome car in the world. I have also readied about expected price at Rs.1.7 to Rs.1.8 crore. It's really superb car model for a richest person's, who is likely able to purchase its richest car model in the world. Many other luxurious car, those coming also in high range model in the country. But its a different model in between other some luxurious models. Other many luxurious car maker like BMW, AUDI, MERCEDES-BENZ are also going makes a different type of cars in the world. I also like a high cost car models for to buy. Now I will plan to purchase its marvellous car model."
2017,Bentley,"Bentley Mulsanne is one of the most lavish vehicles you will find on the planet. It's one of the best cars from the British carmaker which shows all-around excellence in its category. The new Mulsanne carries awesome design, extreme level of comfort and excellent driving dynamics. I happened to drive my friend's Mulsanne and it felt just awesome. The vast array of switches and dials and anything you touch inside the cabin speaks of quality. The 8-inch touchscreen infotainment packs a whole bouquet of Bluetooth, audio/video and navigation system. The car is certainly a chauffeur's duty but the front seats are equally luxurious as the rear seats. The cabin is hand-made for personal appeal and can be chosen with 10 wooden themes and 24 varieties of colours. The dashboard on the other hand, uses premium leather with contrast top-stitching. This short review won't be sufficient to describe each and every aspect of this world-class car, but I would just say that the car has lived up to its name."
2018,Bentley,"Bentley Mulsanne is one of the most lavish vehicles you will find on the planet. It's one of the best cars from the British carmaker which shows all-around excellence in its category. The new Mulsanne carries awesome design, extreme level of comfort and excellent driving dynamics. I happened to drive my friend's Mulsanne and it felt just awesome. The vast array of switches and dials and anything you touch inside the cabin speaks of quality. The 8-inch touchscreen infotainment packs a whole bouquet of Bluetooth, audio/video and navigation system. The car is certainly a chauffeur's duty but the front seats are equally luxurious as the rear seats. The cabin is hand-made for personal appeal and can be chosen with 10 wooden themes and 24 varieties of colours. The dashboard on the other hand, uses premium leather with contrast top-stitching. This short review won't be sufficient to describe each and every aspect of this world-class car, but I would just say that the car has lived up to its name."
2019,Bentley,"Bentley Mulsanne is one of the most lavish vehicles you will find on the planet. It's one of the best cars from the British carmaker which shows all-around excellence in its category. The new Mulsanne carries awesome design, extreme level of comfort and excellent driving dynamics. I happened to drive my friend's Mulsanne and it felt just awesome. The vast array of switches and dials and anything you touch inside the cabin speaks of quality. The 8-inch touchscreen infotainment packs a whole bouquet of Bluetooth, audio/video and navigation system. The car is certainly a chauffeur's duty but the front seats are equally luxurious as the rear seats. The cabin is hand-made for personal appeal and can be chosen with 10 wooden themes and 24 varieties of colours. The dashboard on the other hand, uses premium leather with contrast top-stitching. This short review won't be sufficient to describe each and every aspect of this world-class car, but I would just say that the car has lived up to its name."
2010,Buick,"The interior of the LaCrosse is very cramped, and it's smaller than I'd expect for a Buick. I constantly hit my elbow on the center console and bump my head getting in. Besides the bad interior room, the seats are amazing. The seats are very comfortable and squishy. The LaCrosse also has good trunk space, you could fit 4 bodies in there if you arranged them right. The car's styling has aged well, and it stills looks nice and luxurious. It also has very Buick-like suspension. It feels like you're gliding on a magic carpet when you go over potholes. It's a great car besides the tiny interior space."
2010,Buick,"I love this car - rides well, solid to drive, roomy front, back and trunk no major problems in 5 years, comfortable for all passengers and well designed interior. Surpassed my expectations - still feel excited to drive it and very safe. Also, does very well with mileage for a large car,"
2011,Buick,"The 2011 Buick Regal offers midsize sedan buyers a sporty option that can compete with some upscale models. Priced like an affordable midsize car, but competes against premium models
Well-balanced performance Inviting interior. Steering is too light
Base engine won't please enthusiasts"
2011,Buick,"I own a 2011 Buick Lacrosse and it is the best vehicle I have ever owned. I have not had a single issue with this car. Living in the Chicago area, we have the misfortune of having a lot of snow, however, I have never felt saver on the road than I do in this car, I also have the e-assist feature on my car. I highly recommend this vehicle and WILL buy another."
2012,Buick,"Automotive critics wrote that the 2012 Buick Regal has an attractive interior and that the turbocharged models are powerful, agile and fun to drive. Powerful turbocharged engine
Sharp handling in GS trim
Attractive interior design
eAssist model has great fuel economy
eAssist model has small trunk
Limited rear-seat headroom"
2012,Buick,"I've really enjoyed this car so far. It's so comfortable to travel in. I've really enjoyed the infotainment system, it's great if you're traveling long distances. The driver's seat is the most comfortable of any car I've ever owned. I recently took a trip with family and my sister, who usually gets car sick in the back seat, said that she didn't have any sickness in this car. I think that has to do with how well it rides. This car has the first back up camera I've ever had in a car, parallel parking is so much easier than other cars I've owned...."
2013,Buick,"With composed handling and top-quality interior materials, many automotive journalists agreed that the 2013 Buick Regal is an appealing sport sedan. Strong acceleration in Regal GS
Balanced handling
Top-shelf cabin materials
Limited rear-seat headroom
Small trunk in eAssist models"
2013,Buick,"I leased Infiniti's before shopping around this time. Wanted a smooth ride with luxurious interior. Test drove every luxury car out there for 6 months. Happened to stop into Buick because it was right next door to the Cadillac showroom. Drove the LaCrosse and was blown away. Leased it in October 2013 and couldn't be happier. It is pure luxury - smooth, smooth ride, comfortable and roomy seats plus so quiet, I have to check to make sure the car is on. Buick made a slam dunk with this car. Everyone that has been in the car have been so surprised that it is a Buick. People actually stop me in parking lots to comment on the car. I have the dark gray with very light gray (almost white) interior. Hope they bring that interior back again. It's just beautiful. One con I have is the interior colors for the 2014 are too dark. Especially the beige. It's awful."
2014,Buick,"The Buick Regal sits in the top third of the midsize car class thanks to its quality interior, solid reliability, composed handling, and turbocharged engine performance. That said, rear-seat headroom is rather slim for the class. Poised handling
Comfortable front seats
Punchy four-cylinder turbo
eAssist models have a small trunk and weak acceleration
So-so fuel economy"
2014,Buick,"I researched many models before deciding on the LaCrosse. I leased it for 39 months and the incentives made it very attractive. All in, with no downpayment except for my trade (only $800 equity) I pay $359 per month. The car is quiet and the ride is silky smooth. The seats are comfortable, plenty of room, tastefully done interior. It's a real luxury cruiser and doesn't try to be anything but that. This is no sports sedan so don't buy it if that's what you're looking for. It's a little underpowered even with the 3.6L V6 because of its size. The steering is a little loose for my taste and nobody will mistake its handling for an M5. But if you like to ride around in style and comfort but can't afford or don't want to pay for a Caddy, Lincoln, Lexus or MB, give the LaCrosse a look and I'm sure you'll be tempted by the value."
2015,Buick,"The 2015 Buick Regal finishes in the middle of the midsize car class. It has an upscale and comfortable interior, impressive handling, and an above-average reliability rating. However, some rivals are roomier and more fuel-efficient. Above-average reliability rating
Sharp handling
Comfortable ride
Upscale interior
Rear seat is short on headroom
Awkwardly shaped trunk
Subpar fuel economy with base engine"
2015,Buick,"Bought this car new. I’m not a mechanical person so when I say this I hope you know what I’m saying. I’ve had this car for 4 years. I’ve had to replace something called a cam shaft, a pully on the engine, a belt to the engine, battery, a low compressor, multiple fuses, and still sometimes the radio and screen will just not work for 15-20 minutes. I’ve had to have the keys replaced 3 times already. To much for a car that’s 4 years old. Even though it has a lot of issues. This car still got me home safely. I was out of town, this car still got me home (15 hour drive) with a bad compressor and cam shaft. So if you get this car make sure you get an extended warranty. It’s has lots of room and comfortable ride. Interior material could be made of a better material."
2016,Buick,"The 2016 Buick Regal has a classy interior, useful technology, and sporty handling, but its high total cost of ownership pushes it toward the back of our midsize car rankings. Many upscale standard features
User-friendly touch-screen interface
Agile handling
Weak base engine
Cramped rear seats"
2016,Buick,"Bought a left over 2016 Sport. sharp, firm ride. Not into Tech but this is the right amount. Cool headlights that follow steering. Great infomat system and GPS- finds nearest gas and price of fuel at each. Bad blind spots- recommend blind spot warning if available. Trunk feels small and fills up quickly when going out with family. I do not like the quick depreciation but plan on keeping till they tow it away. Drives like a higher priced Luxury car. Dislike the keyless remote- left engine on numerous times but horn warns me when that happens. Remote Door unlock using handle- erratic to use."
2017,Buick,"Despite its athletic handling and upscale cabin, the 2017 Buick Regal has a weak engine lineup, tight passenger space, a small trunk, and high ownership costs. As a result, it ranks near the back of the midsize car class. Impressive interior materials
User-friendly touch screen
Agile handling
Less rear-seat space than rivals
Weak base engine
Lag with turbocharged engine"
2017,Buick,"This sedan is one of the quiestest inside. I wanted a quiet and smooth ride without getting a 7 Series BMW or a vehicle that looks like I am 80 years old to drive it. The options are luxurious and the car is a smooth ride. The design is slightly above average for a sedan and Buick lost its old people look. Quality should be noted in the tri-coat paint, headlight features, and the drivers area cockpit. Any area for improvement is the transmission. It is not always smooth and can be inconsistent in the exact same daily commute. I have owned a hybrid so I can be mindful of the pedal and work with it like you do with a hybrid to get the most economy."
2018,Buick,"The 2018 Buick Regal ranks in the bottom third of the midsize car class. While it has a decent powertrain and an above-average predicted reliability rating, its cabin materials and technology features trail the competition. Generous cargo space
Swift acceleration in GS trim
Good predicted reliability rating
Subpar interior quality for the price
Outdated infotainment system
Below-average fuel economy
Cabin not as luxurious as some rivals’

"
2018,Buick,"Love a at first sight. Comfortable, user friendly. tech friendly. enjoy driving. love all the upgrades. safety WOW. saved me from a rear end collision by alerting me what was happening around the curve before I saw the traffic. Love all the alerts. inside beautiful, comfortable. Enjoy the power seats, the lumbar support (have a bad back) heat is great for both seat and steering wheel. The massage was a great add bonus. I am a real believer in this car."
2019,Buick,"The 2019 Buick Regal offers plenty of cargo space and a good predicted reliability rating, but it trails its rivals in nearly every other area, including cabin quality and cornering agility. It remains unranked among midsize cars because it has not been fully crash tested. Spacious seats
Huge cargo hold
Good predicted reliability rating
Outdated infotainment system
Rivals have nicer cabins
Below-average fuel economy
Less agile than rivals

"
2019,Buick,"I had intended to buy the 6 cylinder 310 HP engine, but the deal I got on the 4 cylinder 194 HP was just too good to pass up. We figured that if we didn’t like the 4 cylinder we could resale without losing too much due to getting a really good deal. After 16,000 miles, going from Alabama to Key West, FL, to Texas, to North Dakota, to Washington, DC, etc over 4 months, we love this car! The 4 cylinder has plenty of acceleration. While my city driving is actually poor (compared to how good the highway miles are) at about 21 MPH, my highway miles (the reason I bought it as I drive 90% on the highway) are wonderful at 35 MPH typically, 41 MPG on flat highways (think Texas), and 31-35 MPH on rolling hills depending on the steepness. Worth noting that I’m not crawling along to get this great mileage. I drive 5 MPH over the speed limit on average and Texas and South Dakota have 80 MPH speed limits in rural areas. This is real miles and yet General Motors is discontinuing the Lacrosse! Go figure. This Lacrosse is the most comfortable and economical combination in my 50 years of driving, and I have traded vehicles frequently over those 50 years. The CUE entertainment system works well also. More intuitive than my 2016 6 cylinder Lacrosse and 2014 Cadillac SRX, and has Car Play. Car Play is great whatever vehicle you own or rent as it works from your cell phone and works with your car’s system, and is free. OnStar is a long way from free!"
2010,Cadillac,I purchased this vehicle in replacement of a Yukon Denali that was totaled in a recent accident. The Escalade is stylish and a definite eye catcher. The Escalade also helps me transport my big family and enough room for my physically handicap child to enjoy themselves.
2010,Cadillac,"No problems until they cross 120K Miles. Then all sorts of illnesses follows, one after the other. Hybrid battery gone at 135K miles, Throttle body replaced at 71453K miles, and then again at 130368K miles. Catalytic converter around the same time. I would not go near American cars again. A Lexus owner has similar large SUV with over 250K miles with no similar major problems to date"
2011,Cadillac,"The highly-ranked 2011 Cadillac CTS offers sporty, yet refined handling, as well as a luxurious, thoughtfully-designed interior, which makes it a great choice for anyone looking for an agile 2011 midsize car. Nimble handling
Capable engines
Upscale interior
Excellent safety scores"
2011,Cadillac,II love Cadillac and their service is amazing. I feel so happy when I go into my local dealership knowing I'm completely taken care of. love my Escalade. It's my 3rd Cadillac and my 2nd Escalade. I've been very satisfied with all of my Cadillac vehicles except that they unfortunately don't keep their value. This is a huge issue for me and honestly may keep me from investing in another Cadillac. As much as I love the vehicle I'm leaning more towards the Lexus luxury SUV that keeps it's value much better long term.
2012,Cadillac,"The 2012 Cadillac CTS is an appealing sport sedan thanks to its powerful 3.6-liter V6, responsive handling and attractive interior styling. Stylish interior design
Crisp handling
Seats could be more comfortable

"
2012,Cadillac,"Great driving vehicle, with enough guts to get you off to a quick start, braking is ok considering the weight of the vehicle. Drives like a dream, quite, and smooth. Very comfortable. Downside which has been corrected in their 2015 model is the removal of the 3rd. row back seats. They are heavy, and a pain to get in and out. Almost impossible for a women of normal strength to handle."
2013,Cadillac,"The used Cadillac CTS ranks near the top of its class, thanks to its muscular engine, strong safety ratings, and solid reliability. Potent V6 and V8 engines
Easy-to-use features
Limited headroom in coupe model
Poor rear visibility"
2013,Cadillac,"Can't wait until spring when the 2015's come out. Had a 2010 with AWD, got 16 mpg on average. The 2013 has RWD I get only 12.5 mpg on average. The 2013 has a better GPS system. Great ride as long as you don't use 22 inch tires."
2014,Cadillac,"Whether you're seeking poised performance or a luxurious interior, the 2014 Cadillac CTS stands out in the class, though some rivals best its average reliability rating. Nimble handling
Potent engines
Numerous standard features
Cramped rear seat

"
2014,Cadillac,"Can't wait until spring when the 2015's come out. Had a 2010 with AWD, got 16 mpg on average. The 2013 has RWD I get only 12.5 mpg on average. The 2013 has a better GPS system. Great ride as long as you don't use 22 inch tires."
2015,Cadillac,"The 2015 Cadillac CTS ranks near the top of the luxury midsize car class. It touts muscular engine performance, athletic handling, a quality interior, and an excellent safety score. Strong engines
Sharp handling
Terrific safety score
Frustrating infotainment system
Rivals have larger rear seats"
2015,Cadillac,"Ride is not what it should be. Too stiff. Recalls have been many. I think Cadillac management confuses value with price. Next time I would buy a GMC Denali. Virtually same car for significantly less cost. After 3 years it has lost 50% of it's market value. If money is not an issue it's a good selection. Cadillac just doesn't have the reputation or image it used to have. Now, would someone please convince my wife of that."
2016,Cadillac,"The 2016 Cadillac CTS has potent available engines and nimble handling. It's luxurious, too, with high-end materials lining the cabin. A cramped back seat and a relatively high total cost of ownership score, however, keep this luxury midsize car in the middle of a competitive class. Powerful V6 and V8 engines
Poised handling
Premium cabin materials
Unrefined base engine
Cramped rear seat and trunk

"
2016,Cadillac,Very comfortable ride with top of the line features inside and out. Lots of horse power allowing the Escalade to perform like a much smaller vehicle while still maintaining an average 20 MPG combined city and highway.
2017,Cadillac,"The 2017 Cadillac CTS has precise steering and agile handling. However, it sits in the bottom third of our rankings because of an underpowered base engine, a tight passenger area, and a somewhat small cargo space for the luxury midsize car class. Powerful engine lineup
Sharp handling
Premium cabin materials
Advanced tech features
Unrefined base engine
Subpar fuel economy
Undersized rear seats

 "
2017,Cadillac,"Coming from 2 911s (997s) and a new Stingray(C7),it was simply time to get something bigger and more comfortable. And the 2017 Escalade is as big and as comfortable as it gets. The look is imposing and modern, the cabin is SUPER QUIET and the ride with Magnetic Ride Control is EXCELLENT. The fit and finish is first rate, the cabin technology is cutting edge. I went to the dealership drove it and made up my own opinion. In my opinion, King of the Hill. I couldnt be happier with my purchase. Highly recommended!!"
2018,Cadillac,"The 2018 Cadillac CTS has powerful engines and tight handling, but it ranks in the bottom half of our luxury midsize car rankings. It comes up short on cabin and cargo space, and it has a poor predicted reliability rating. Athletic handling
Potent engine options
Extensive technology
Poor predicted reliability rating
Cramped rear seat
Undersized trunk
Weak base engine

"
2018,Cadillac,"Great ride, latest technology, easy to park for a full size SUV. 10 speed transmission and 6.0 V8 gives this vehicle lots of power and is smooth. We have gotten in low 20s MPG on hiway driving at 70-75 mph! Lots of room for passengers and cargo!"
2019,Cadillac,"The 2019 Cadillac CTS offers powerful engines, athletic handling, and a generous array of standard features. However, it ranks in the middle third of the luxury midsize car class because of its poor predicted reliability rating and frustrating infotainment system. Excellent handling
Powerful engine options
Comfortable front seats
Poor predicted reliability rating
Below-average trunk space
Unintuitive infotainment system
Mediocre fuel economy

"
2019,Cadillac,"For a $95,000 vehicle I guess you would think that things would work when it’s brand new. Unfortunately a lot of the extra “nice to have” convenience items are buggy and only work sometimes. While the entertainment system is old and out of date, we expected that the wireless headphones (10 year old tech) would be figured out, they aren’t. The “kick” to open rear gate rarely works. The buttons on the radio are horrible at changing with touch. I know there is a new model coming and unfortunately I would think it won’t be as reliable at first, wh..."
2009,Chrysler,
2010,Chrysler,
2011,Chrysler,
2012,Chrysler,
2013,Chrysler,
2014,Chrysler,
2015,Chrysler,
